Queries,Number of Overlapping Results,Percentage Overlap,Spearman Coefficient
Query 1,2,20.0,1.0
Query 2,2,20.0,-15.0
Query 3,1,10.0,0
Query 4,0,0.0,0
Query 5,1,10.0,0
Query 6,2,20.0,-4.0
Query 7,2,20.0,0.0
Query 8,2,20.0,-8.0
Query 9,0,0.0,0
Query 10,2,20.0,-73.0
Query 11,5,50.0,0.1
Query 12,2,20.0,-24.0
Query 13,6,60.0,-0.54
Query 14,3,30.0,-10.25
Query 15,2,20.0,-19.0
Query 16,0,0.0,0
Query 17,0,0.0,0
Query 18,0,0.0,0
Query 19,4,40.0,-0.9
Query 20,2,20.0,-16.0
Query 21,2,20.0,-1.0
Query 22,0,0.0,0
Query 23,2,20.0,-9.0
Query 24,2,20.0,-19.0
Query 25,2,20.0,-33.0
Query 26,3,30.0,-5.0
Query 27,0,0.0,0
Query 28,3,30.0,0.5
Query 29,1,10.0,0
Query 30,1,10.0,1
Query 31,2,20.0,1.0
Query 32,1,10.0,0
Query 33,1,10.0,0
Query 34,2,20.0,-4.0
Query 35,0,0.0,0
Query 36,1,10.0,0
Query 37,2,20.0,-64.0
Query 38,3,30.0,-17.5
Query 39,2,20.0,0.0
Query 40,0,0.0,0
Query 41,3,30.0,-6.5
Query 42,1,10.0,0
Query 43,0,0.0,0
Query 44,0,0.0,0
Query 45,1,10.0,0
Query 46,2,20.0,-9.0
Query 47,0,0.0,0
Query 48,1,10.0,0
Query 49,1,10.0,0
Query 50,2,20.0,-1.0
Query 51,4,40.0,-1.0
Query 52,2,20.0,-28.0
Query 53,1,10.0,0
Query 54,1,10.0,0
Query 55,1,10.0,0
Query 56,2,20.0,-1.0
Query 57,1,10.0,0
Query 58,0,0.0,0
Query 59,0,0.0,0
Query 60,1,10.0,0
Query 61,2,20.0,-73.0
Query 62,7,70.0,-1.7
Query 63,3,30.0,-11.5
Query 64,2,20.0,-35.0
Query 65,2,20.0,-39.0
Query 66,2,20.0,-15.0
Query 67,2,20.0,-15.0
Query 68,5,50.0,-3.55
Query 69,0,0.0,0
Query 70,1,10.0,1
Query 71,0,0.0,0
Query 72,2,20.0,-7.0
Query 73,3,30.0,-3.5
Query 74,0,0.0,0
Query 75,2,20.0,-39.0
Query 76,1,10.0,0
Query 77,5,50.0,0.4
Query 78,0,0.0,0
Query 79,1,10.0,0
Query 80,1,10.0,0
Query 81,2,20.0,-1.0
Query 82,1,10.0,0
Query 83,1,10.0,0
Query 84,0,0.0,0
Query 85,2,20.0,0.0
Query 86,3,30.0,-6.25
Query 87,2,20.0,-9.0
Query 88,1,10.0,1
Query 89,3,30.0,1.0
Query 90,1,10.0,0
Query 91,5,50.0,-2.4
Query 92,0,0.0,0
Query 93,2,20.0,0.0
Query 94,0,0.0,0
Query 95,0,0.0,0
Query 96,1,10.0,0
Query 97,0,0.0,0
Query 98,3,30.0,-5.25
Query 99,0,0.0,0
Query 100,0,0.0,0
